mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,sigma_y,LL
-0.00693928290434552,-0.987086017985519,0.00468384432308852,-1.19625422701468,0.0033679588225526,0.0766280905795917,0.00741843217270155,0.0127324092594542,0.761890483523527,528.430922118744
-0.00637488450033714,-0.987086017985519,0.00457644416943834,-1.19652642110533,0.0033679588225526,0.079459789611284,0.00641295386544073,0.0149092582988271,0.6331608727884,475.110834953376
-0.00517330933652184,-0.987086017985519,0.0045762197528805,-1.21520126541137,0.0033679588225526,0.079459789611284,0.0152329735648516,0.00502813876118563,0.731599333293804,504.996495507988
-0.00503807696719926,-0.987086017985519,0.00450811479277275,-1.20462085156857,0.0033679588225526,0.079459789611284,0.00952923299824866,-0.00981628227663447,0.768579401846988,497.106275065901
-0.00380859054805838,-0.989968318648129,0.00450881872265072,-1.22361067874563,0.0033679588225526,0.079459789611284,0.03197614745473,0.172320902282363,0.734208052667365,531.040698725215
-0.00432532560642939,-0.989968318648129,0.00447332544953556,-1.18379799226369,0.0033679588225526,0.079459789611284,0.00722818563914619,-0.117834686426037,0.676000299117512,469.241319191949
-0.00374539737910071,-0.989968318648129,0.00443705777264506,-1.24194246627867,0.0033679588225526,0.079459789611284,0.0114569801272238,0.0457406787985835,0.690546556002756,475.468323957605
-0.00382779522781264,-0.989968318648129,0.0044803051355819,-1.22273439183678,0.0033679588225526,0.079459789611284,0.0206138298142509,0.20410218036074,0.725195177819199,483.418255173935
-0.00398975717048553,-0.989968318648129,0.00447429477123429,-1.24773224544752,0.0033679588225526,0.079459789611284,0.0233351413233468,0.0235035358045935,0.694568807727578,474.558160450102
-0.00333810398835341,-0.989968318648129,0.0043919887191299,-1.21568864523749,0.0033679588225526,0.079459789611284,0.00976096780619409,0.0696760261652696,0.767016631598364,501.173290210888
-0.0033999708714779,-0.989968318648129,0.00445464724996898,-1.2619806969785,0.0033679588225526,0.079459789611284,0.0533086605455759,-0.062341899723303,0.669809767330361,468.704969822435
-0.0033672878572752,-0.989968318648129,0.00439486214504455,-1.2240353295097,0.0033679588225526,0.079459789611284,0.0121591266319478,0.0270148766286495,0.658587511601657,442.630116626435
-0.00345999495336239,-0.989968318648129,0.00446112359364571,-1.23978350515255,0.0033679588225526,0.079459789611284,0.0183575387325079,-0.173194007620881,0.684789510816319,504.042909669487
-0.00393412087880772,-0.989968318648129,0.00447231361600341,-1.25634444044559,0.0033679588225526,0.079459789611284,0.00979030860915779,0.0335356332936174,0.765068431506411,488.496912093244
-0.00419099024984157,-0.989968318648129,0.00453244100727509,-1.26129954537469,0.0033679588225526,0.079459789611284,0.0117497316863808,0.157688145142656,0.686236083769389,453.334566251324
-0.0045923990696815,-0.989968318648129,0.00451273248223928,-1.22284456657019,0.0033679588225526,0.079459789611284,0.020997654423771,0.00387860367310964,0.680845157812464,453.539453574841
-0.0040033175347899,-0.989968318648129,0.00451694260673983,-1.20592973918102,0.0033679588225526,0.079459789611284,0.0129387450232407,-0.0309510690702245,0.680599167096094,439.81368655562
-0.00418266124638267,-0.989968318648129,0.00452528666168543,-1.19022458493173,0.0033679588225526,0.079459789611284,0.0156252261615207,-0.0149580921809397,0.722191661155766,489.496631871803
-0.00471189033024285,-0.989968318648129,0.00457195560155725,-1.18869889962526,0.0033679588225526,0.079459789611284,0.0257023163694826,-0.0400969957200528,0.681695913214223,461.17172821915
-0.00541688244359041,-0.989968318648129,0.00455784206478511,-1.20355059732761,0.0033679588225526,0.079459789611284,0.0252205351122066,-0.0174228742710594,0.747688915599485,514.673657045227
-0.00454630379888737,-0.989968318648129,0.00452138589524705,-1.23320871329233,0.0033679588225526,0.079459789611284,0.00182208055362651,0.123166548394832,0.675877847148642,477.446316741271
-0.00431255801979919,-0.989968318648129,0.00449575422000724,-1.20703356560257,0.0033679588225526,0.079430886701437,0.0285273905603195,-0.104762059923082,0.714190177991584,425.307824604281
-0.00400771117007575,-0.989968318648129,0.00450547703859541,-1.22234886179223,0.0033679588225526,0.079430886701437,0.0013789943844326,-0.0458394952223051,0.733840369637154,526.333920892546
-0.0047219579330651,-0.989968318648129,0.00454306156015385,-1.20628480303364,0.0033679588225526,0.079430886701437,0.00150036388482149,0.00656114109936486,0.720266425720523,466.844112932623
-0.00487674883290282,-0.989968318648129,0.00452036120163927,-1.22154527506437,0.0033679588225526,0.079430886701437,0.0237200384229528,0.00665083344399164,0.653252023018884,502.227076241193
-0.0040614907385812,-0.989968318648129,0.00445483661305881,-1.21049723603814,0.0033679588225526,0.079430886701437,0.00838892397695047,-0.0207360393701794,0.731098954813291,498.660249982895
-0.00431987392957426,-0.98875616427362,0.00450493289807292,-1.25293182885242,0.0033679588225526,0.0757024988724714,0.00570748657258143,0.0660797799657988,0.822468595031172,509.542122827471
-0.00355476361991675,-0.989310046210773,0.00448989435927675,-1.24746432606826,0.0033679588225526,0.0757024988724714,0.0179109086041587,0.0552041601202143,0.71409165053081,486.95926692
-0.0037465778130809,-0.989310046210773,0.00447724222449538,-1.21542158793784,0.0033679588225526,0.0757024988724714,0.0230066541782077,0.0296838229596149,0.681616418286967,458.793573969932
-0.00423942346547285,-0.989310046210773,0.00446786939105518,-1.21340476727491,0.0033679588225526,0.0757024988724714,0.0681333367974639,0.102060333847908,0.649741338387307,473.107055606782
-0.00384175883640265,-0.989310046210773,0.00446797529620881,-1.2286572604593,0.0033679588225526,0.0757024988724714,0.0192703361832194,0.024928681526838,0.704628266444526,464.84733387704
-0.00394207700621811,-0.989310046210773,0.00450269545037873,-1.2593563528744,0.0033679588225526,0.0757024988724714,0.0115522661592315,-0.0790588130571183,0.760798850787127,480.491992757732
-0.00433520483444956,-0.989310046210773,0.00447231094446551,-1.22240044764045,0.0033679588225526,0.0757024988724714,0.0119939853582428,0.161056217651861,0.670505464751738,469.207130374155
-0.00384732577903188,-0.989310046210773,0.00445021692754888,-1.22058297482532,0.0033679588225526,0.0757024988724714,0.0239717941157193,-0.00037906185092015,0.70745149899016,485.474863753514
-0.00364962512805714,-0.989310046210773,0.00448993605332481,-1.23035615402222,0.0033679588225526,0.0782988751644,0.00682567940499614,0.139633616168848,0.837282661261402,500.979936509893
-0.00403249091598712,-0.989310046210773,0.00447350404561279,-1.19282701225473,0.0033679588225526,0.0782988751644,0.00666834309800781,-0.126989251718585,0.753588810802971,478.169158314813
-0.00402660681691255,-0.989310046210773,0.00448936431002758,-1.24172133679576,0.0033679588225526,0.0749302738568779,0.0295012541011276,-0.153766345063581,0.648383007750632,459.83838722267
-0.004290108374018,-0.989310046210773,0.00450571816391982,-1.22906189988283,0.0033679588225526,0.0749302738568779,0.012419943479233,-0.00580118732343233,0.792105818802872,474.326425107816
-0.00408109673578848,-0.989310046210773,0.00454800060665672,-1.26314683628327,0.0033679588225526,0.0749302738568779,0.042988291972578,0.00598411812760887,0.767404669521679,493.004981302922
-0.00455186559385957,-0.989310046210773,0.00452544454025539,-1.24018855032355,0.0033679588225526,0.0782643151731967,0.0129472970964288,0.115651349413215,0.706273472866811,467.109509651777
-0.00411038678066293,-0.989310046210773,0.0044248718246589,-1.26776239353433,0.0033679588225526,0.0782643151731967,0.0102643762786708,0.0284667656807902,0.754026446498555,514.934165166722
-0.00317246544384625,-0.989310046210773,0.00442280458052079,-1.24585101882544,0.0033679588225526,0.0782643151731967,0.00394419626515,0.0453620780751567,0.674575626493529,453.545214623787
-0.00370671412508072,-0.989310046210773,0.0044365948853918,-1.26100885053339,0.0033679588225526,0.0782643151731967,0.0101305753127625,0.0795422600211438,0.678554153887962,488.447171165603
-0.00393045341897051,-0.989310046210773,0.00444778790861364,-1.21758693469103,0.0033679588225526,0.0782643151731967,0.0158018905297584,0.162811872804775,0.739101413096266,494.56712462736
-0.00345769071140067,-0.989310046210773,0.00446882397579233,-1.26898575216882,0.0033679588225526,0.0782643151731967,0.0011955944713079,-0.0762648190920561,0.743838123390952,475.73374638803
-0.00365083973127977,-0.989310046210773,0.00442901919989491,-1.23206824956807,0.0033679588225526,0.0815569246295205,0.00384988152645579,-0.0528552545247425,0.771975236702395,517.708292229305
-0.00418649723573954,-0.989403626577875,0.00454456413873956,-1.24906393339439,0.0033679588225526,0.0815569246295205,0.0263210310439997,-0.0553310129281012,0.708849529165401,488.730159022771
-0.00537287803589275,-0.989403626577875,0.00456310612300548,-1.25120143958644,0.0033679588225526,0.0815569246295205,0.0125306415065308,0.0723947404575109,0.63652747517658,445.292091522874
-0.00538538492870738,-0.988857538263182,0.00459687294976544,-1.28118475468998,0.0033679588225526,0.0815569246295205,0.0215054608381522,0.183565036043812,0.658425570860179,456.830890124287
-0.00551139054273664,-0.988857538263182,0.00460268103921664,-1.2408978228113,0.0033679588225526,0.0815569246295205,0.0160298577810676,0.092770811830235,0.75710155081414,470.476050134335
-0.00555923963787167,-0.988857538263182,0.0045804266789673,-1.24254700410673,0.0033679588225526,0.0815569246295205,0.0182200031332773,0.173098497646197,0.821859227178524,501.485434062539
-0.00562771328749623,-0.988857538263182,0.00455520931841472,-1.24461677078151,0.0033679588225526,0.0815569246295205,0.0180901781432203,0.11308692000934,0.719362322974702,481.140204506951
-0.00495443444178307,-0.988857538263182,0.00454594538802526,-1.24199195302987,0.0033679588225526,0.0755939837582309,0.0332787214182399,0.0882869166787837,0.70682043583546,487.1450841313
-0.00556400114582316,-0.988857538263182,0.00463233522188005,-1.25911940686408,0.0033679588225526,0.0755939837582309,0.0285172012796164,0.0946768334051777,0.819639809324473,520.24499687409
-0.00661223969297409,-0.988857538263182,0.00470939433503722,-1.2601017509114,0.0033679588225526,0.0755939837582309,0.0147045391913809,-0.0467910161495688,0.683032344898523,486.671494497351
-0.00732119008561411,-0.988857538263182,0.00469572931065811,-1.24810729928306,0.0033679588225526,0.0755939837582309,0.0234281303539676,0.091864645969102,0.780507644183341,527.897114656172
-0.00701920597983373,-0.988857538263182,0.00468930160607452,-1.26693227598306,0.0033679588225526,0.0755939837582309,0.0164953815122921,0.0577501559043875,0.683506035163684,498.92752381144
-0.00667723542829214,-0.988857538263182,0.00467022855873426,-1.19945712509404,0.0033679588225526,0.0755939837582309,0.0436227312400568,-0.0278412783686763,0.656644178864086,513.358132155373
-0.00713167613302268,-0.988857538263182,0.00473370086924119,-1.30635284167085,0.0033679588225526,0.0755939837582309,0.0108034063049547,0.0828559019410914,0.723903611894624,470.914108722973
-0.00716852161699151,-0.988857538263182,0.00473939210055374,-1.27502414747029,0.0033679588225526,0.0755939837582309,0.0046356486963245,-0.00975751468760497,0.697342375097903,475.729605503327
-0.00728494611452898,-0.990521263927013,0.00474655949346409,-1.25465928205552,0.0033679588225526,0.0755939837582309,0.00643574113977533,0.082445067824329,0.638755957194678,484.764119623782
