XBTUSD BGN Curncy,Date,Last Price,Closing Price 1d ago,
42608,2016-08-26,577.84,575.71,
42610,2016-08-28,573.67,#N/A N/A,
42611,2016-08-29,573.2,577.84,
42612,2016-08-30,575.22,573.2,
42613,2016-08-31,572.41,575.22,
42614,2016-09-01,571.9,572.41,
42615,2016-09-02,574.23,571.9,
42617,2016-09-04,604.19,#N/A N/A,
42618,2016-09-05,607.88,574.23,
42619,2016-09-06,611.14,607.88,
42620,2016-09-07,614.55,611.14,
42621,2016-09-08,625.7,614.55,
42622,2016-09-09,620.84,625.7,
42624,2016-09-11,602.27,#N/A N/A,
42625,2016-09-12,606.92,620.84,
42626,2016-09-13,608.67,606.92,
42627,2016-09-14,609.86,608.67,
42628,2016-09-15,606.82,609.86,
42629,2016-09-16,606.86,606.82,
42631,2016-09-18,608.38,#N/A N/A,
42632,2016-09-19,609.32,606.86,
42633,2016-09-20,608.39,609.32,
42634,2016-09-21,595.31,608.39,
42635,2016-09-22,596.61,595.31,
42636,2016-09-23,602,596.61,
42638,2016-09-25,600.17,#N/A N/A,
42639,2016-09-26,606.34,602,
42640,2016-09-27,602.9,606.34,
42641,2016-09-28,604.39,602.9,
42642,2016-09-29,606.52,604.39,
42643,2016-09-30,605.99,606.52,
42645,2016-10-02,609.68,#N/A N/A,
42646,2016-10-03,612.58,605.99,
42647,2016-10-04,609.22,612.58,
42648,2016-10-05,612.79,609.22,
42649,2016-10-06,611.75,612.79,
42650,2016-10-07,617.94,611.75,
42652,2016-10-09,615.67,#N/A N/A,
42653,2016-10-10,616.89,617.94,
42654,2016-10-11,637.73,616.89,
42655,2016-10-12,634.14,637.73,
42656,2016-10-13,635.24,634.14,
42657,2016-10-14,638.58,635.24,
42659,2016-10-16,640.55,#N/A N/A,
42660,2016-10-17,637.1,638.58,
42661,2016-10-18,632.76,637.1,
42662,2016-10-19,628.47,632.76,
42663,2016-10-20,628.83,628.47,
42664,2016-10-21,630.53,628.83,
42666,2016-10-23,649.47,#N/A N/A,
42667,2016-10-24,648.56,630.53,
42668,2016-10-25,654.08,648.56,
42669,2016-10-26,669.58,654.08,
42670,2016-10-27,681.14,669.58,
42671,2016-10-28,688.36,681.14,
42673,2016-10-30,699.88,#N/A N/A,
42674,2016-10-31,702.17,688.36,
42675,2016-11-01,727.97,702.17,
42676,2016-11-02,730.21,727.97,
42677,2016-11-03,695.18,730.21,
42678,2016-11-04,698.86,695.18,
42680,2016-11-06,711.15,#N/A N/A,
42681,2016-11-07,706.9,698.86,
42682,2016-11-08,711.51,706.9,
42683,2016-11-09,717.24,711.51,
42684,2016-11-10,709.83,717.24,
42685,2016-11-11,714.94,709.83,
42687,2016-11-13,704.6,#N/A N/A,
42688,2016-11-14,706.89,714.94,
42689,2016-11-15,710.94,706.89,
42690,2016-11-16,741.01,710.94,
42691,2016-11-17,738.34,741.01,
42692,2016-11-18,743.26,738.34,
42694,2016-11-20,726.77,#N/A N/A,
42695,2016-11-21,737.46,743.26,
42696,2016-11-22,747.89,737.46,
42697,2016-11-23,739.75,747.89,
42698,2016-11-24,736.33,739.75,
42699,2016-11-25,737.69,736.33,
42701,2016-11-27,732.18,#N/A N/A,
42702,2016-11-28,731.27,737.69,
42703,2016-11-29,731.34,731.27,
42704,2016-11-30,743.26,731.34,
42705,2016-12-01,752.42,743.26,
42706,2016-12-02,774,752.42,
42708,2016-12-04,764.73,#N/A N/A,
42709,2016-12-05,753.78,774,
42710,2016-12-06,757.6,753.78,
42711,2016-12-07,766.43,757.6,
42712,2016-12-08,770.91,766.43,
42713,2016-12-09,771.14,770.91,
42715,2016-12-11,768.3,#N/A N/A,
42716,2016-12-12,777.62,771.14,
42717,2016-12-13,781.51,777.62,
42718,2016-12-14,777.97,781.51,
42719,2016-12-15,776.71,777.97,
42720,2016-12-16,780.68,776.71,
42722,2016-12-18,789.84,#N/A N/A,
42723,2016-12-19,790.38,780.68,
42724,2016-12-20,793.04,790.38,
42725,2016-12-21,825.33,793.04,
42726,2016-12-22,861.51,825.33,
42727,2016-12-23,904.48,861.51,
42729,2016-12-25,890.9,#N/A N/A,
42730,2016-12-26,898.25,904.48,
42731,2016-12-27,931.73,898.25,
42732,2016-12-28,967.36,931.73,
42733,2016-12-29,968.09,967.36,
42734,2016-12-30,952.01,968.09,
42736,2017-01-01,1003,#N/A N/A,
