date,mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,rho_j,sigma_y,mu_v,SSE_SVCJ,RMSE_SVCJ,n_obs,n_contract,exitflag,elapsed_sec
2021-11-29,0.000209011715267626,-0.834488171659443,0.00251627368474443,-2.20666382437802,0.000714731122227246,0.0694837728300326,0.0067,0.0797850508131064,-1.0588,0.19848945152705,2.24532982882576e-14,0.663053177379142,0.00589872715255724,19056,4914,2,1434.65461704167
2021-11-30,0.0016573373262664,-0.872336020056169,0.00369322425938163,-2.00987977945722,0.00150791883839606,0.0729010011350674,0.0067,0.000330300748813514,-1.05934113026181,0.0246432360067633,0.0013225779317995,0.82971896584734,0.00627052204964317,21102,5487,2,1032.69258116667
2021-12-01,-6.97524938103346e-05,-0.863483351374609,0.0037214129393593,-2.07347429460048,0.00269652120432074,0.0758494622925768,0.0067,0.189605857274784,-1.94335874794478,0.0810119996170922,0.00895111287426122,0.507705823196722,0.0057576806326984,15315,4124,2,1596.03042866667
2021-12-02,0.00163659993145302,-0.800592233337795,0.00428125859815367,-1.92818251676424,0.0024270812949457,0.0744070915806103,0.0067,-0.0460893688474556,-1.05975218171534,0.00460483989973194,4.44081198023919e-14,1.38416911964259,0.00944232128329227,15525,4186,2,1053.617363625
2021-12-03,-0.000595573251499172,-0.891722964909899,0.00307274234557538,-1.9052467384685,0.00144260260211783,0.0593733693021507,0.0067,0.294393421362111,-1.05649228440942,0.0710496240966877,0.0098827245883593,1.76882300267492,0.00796318472642239,27894,7328,2,2198.019180625
2021-12-04,0.0027135111113932,-0.933804821117064,0.00302490511154172,-1.78622195677343,0.00302612351897425,0.0412917282451563,0.0067,-0.116954612495823,-1.78068885539245,0.130972130551258,0.0519909610529601,8.10534137854148,0.0137118686418092,43110,11708,2,3704.927386
2021-12-05,0.000374689201729413,-0.900635092092365,0.00276538445045779,-2.04266622740043,0.00242350251449577,0.0603600615456202,0.0067,0.11369504119612,-1.05879536347882,0.0265851706788096,0.00240340858370606,1.58649791999073,0.0103142402824681,14913,4088,2,1392.30248125
2021-12-06,-0.00114439146924912,-0.900576908694135,0.00185091340855159,-2.12066680449466,0.000901751430325075,0.0540619195893832,0.0067,0.370276592902173,-1.05749591299859,0.24519420438258,1.00384959733965e-06,1.33631692043134,0.00762819012494108,22965,6072,2,992.121133958333
2021-12-07,-0.000456601511114485,-0.999426281113344,0.00242753843288162,-2.18253613337482,0.00163571200373071,0.0627146883423676,0.0067,0.241004166124827,-1.05879980263488,0.0658964981119434,4.41756101813679e-06,0.571567704774042,0.00545952464065711,19176,5134,2,1929.747261125
2021-12-08,-0.000344330258707362,-0.926492118084536,0.00369498635771705,-2.09198261188963,0.00273234587089263,0.0709950369091434,0.0067,0.176538953217302,-1.05840296085956,1.56649350414803e-07,0.000144072544828984,1.39276418093244,0.00975067778041343,14649,3783,2,441.974313416667
2021-12-09,0.000993260060742355,-0.879273383316829,0.00304536810204638,-2.37671512332122,0.0011229292292755,0.0633735887135515,0.0067,0.0956281900656158,-1.1453542726164,0.292225749198831,0.0162659110658846,0.842641953326043,0.00702409407771751,17079,4410,2,1184.312978625
2021-12-10,-0.000511247700470019,-0.907851206541536,0.00312125312156135,-2.06398446980763,0.00210218880900169,0.0689758670681978,0.0067,0.194530463237623,-1.05885770321208,0.0149012352233295,0.0266952832005949,3.13806347899512,0.0114297128753862,24021,6474,2,1169.86208208333
2021-12-11,0.00111626470649111,-0.90263956721778,0.00332409736448787,-1.92003378597315,0.00214258541715959,0.057845356283443,0.0067,0.167077115336909,-1.05878066880219,0.0223464619144638,0.000130100948290315,0.40820124106254,0.00571021342405289,12519,3461,2,703.383328916667
2021-12-12,0.00105736677073303,-0.873309867086255,0.00263167184828266,-1.92791808558628,0.00185584132778439,0.0564322612855914,0.0067,0.0245803742942907,-1.05879999989489,0.0187305030457646,9.3811561138295e-06,0.547079643317879,0.00647768446442858,13038,3415,2,1188.90402204167
2021-12-13,-0.000181942560220048,-0.891671037398424,0.00264038024950418,-2.06749937396126,0.00150753125326085,0.059679365498864,0.0067,0.220828326495074,-1.06430289489663,0.0658660744132956,0.000903053604551941,1.11799809972079,0.0073163234288017,20886,5514,2,1939.3871725
2021-12-14,-0.000343574140068672,-0.853767811432915,0.00307335307011411,-2.0695091897186,0.00296037076418238,0.0612172825617111,0.0067,0.215873974854944,-1.0588,0.142463556604956,2.68875791774813e-08,0.785551214856377,0.00686322580809615,16677,4529,2,1117.17792233333
2021-12-15,0.00145425820042408,-0.877402862209892,0.00346582386092937,-1.80813646755436,0.000983317067755215,0.0672085191456016,0.0067,-0.0603688529226906,-1.61144420620835,0.120234253060524,0.0127349710466854,0.442521017748747,0.00437741145976788,23094,6047,2,1489.98563045833
2021-12-16,-0.001187665451713,-0.868489064359494,0.00245265813316381,-2.19228914385432,0.00220467619657579,0.0629604763374987,0.0067,0.329925158069736,-1.05556305757146,0.117977286886248,0.000231321612889855,0.779569527740073,0.00693247983942285,16221,4356,2,965.636641916667
2021-12-17,-0.000880597908401423,-0.883227625310972,0.00334648429272874,-2.13904279831566,0.00348211427301702,0.0747189679908547,0.0067,0.145376065039018,-0.969358022472475,3.99767923820582e-14,0.00231784032334047,0.815517673928984,0.00673157409442972,17997,4655,2,1051.55838333333
2021-12-18,-5.77749391709805e-05,-0.881594694410061,0.0033783449703464,-1.98806283909035,0.00100488827868923,0.0557465569672788,0.0067,0.110233047263866,-1.05846754837913,0.00603244037379903,6.13709987126712e-07,0.523867246791902,0.00724040199670861,9993,2558,2,704.740066666667
2021-12-19,0.000153976108401778,-0.884431425180987,0.00315505225433147,-2.00692048817425,0.00161776075738136,0.063133020833316,0.0067,0.0968718408088397,-0.965059154613893,0.255727279726146,0.00727086608549209,0.224608645917917,0.0047099437329125,10125,2612,2,897.246134208333
2021-12-20,-0.000162265745448887,-0.98891872001286,0.00306059698447909,-2.04398388702052,0.00190795046984913,0.0595810923542096,0.0067,0.207766433714528,-1.05879309070203,0.0498744428997528,0.00869590088149834,0.688973975645537,0.0064390989497507,16617,4515,2,1060.79207820833
2021-12-21,0.000303113048271256,-0.886600866255746,0.00336841235692721,-2.08625341529249,0.00219116642086044,0.0745746634251977,0.0067,0.144633514953014,-1.05466792366102,1.36743752903622e-11,0.000972971966938303,0.505751203008799,0.00520192170837613,18690,4939,2,747.524280083333
2021-12-22,0.000175884928291657,-0.90293747501108,0.00401623264332216,-1.85595289004807,0.00140585055008831,0.0711355047325399,0.0067,0.0979007276844551,-1.07154329052958,0.000212830720132496,0.00792550396688648,0.184825934861763,0.00422827467403334,10338,2644,2,1411.90472433333
2021-12-23,0.000184579740312959,-0.785777203766632,0.00278346541039251,-2.04467329310239,0.00133592545165709,0.0586686177310813,0.0067,0.167373830581276,-1.05882479395158,0.0112374195297807,0.00010915133303928,0.364583355513866,0.00486672474854211,15393,3937,2,948.69873525
2021-12-24,6.57052495003657e-06,-0.891683814539036,0.00250415891570433,-2.06560057493568,0.00249602843421174,0.0603144438338516,0.0067,0.10080933920552,-1.0588,0.0214524008996853,4.44088861110323e-14,2.04133497305563,0.0108585284500364,17313,4318,2,665.067464125
2021-12-25,-0.000116103314846965,-0.895033698902035,0.00211565197795463,-2.03448381824882,0.00131982939112205,0.057952095263266,0.0067,0.224251134547921,-1.05997686183459,0.0459354067941047,0.00225825237370054,0.302798642879118,0.00634511018020376,7521,1932,0,1095.32710370833
2021-12-26,0.00275524201035614,-0.930126491295566,0.00288436828641932,-2.205999669664,0.00151003189462637,0.0675025346007843,0.0067,-0.149467518975398,-1.05733114295799,6.8192303484683e-08,3.86993009668148e-14,0.787411284976529,0.00862166871503134,10593,2668,2,982.875274833333
2021-12-27,0.00131330663202225,-0.896702382259998,0.00273633841901151,-2.07353068080819,0.000969319155025504,0.0617093656133544,0.0067,-0.00433738678364206,-1.18903462573645,0.164935798553963,0.0107406598491858,0.533674531019488,0.00661770878080848,12186,3176,2,1144.48656658333
2021-12-28,-0.000927207888441277,-0.890853922412933,0.00214187145636418,-2.10681761625189,0.00126644725427067,0.0579895930412998,0.0067,0.249617467806198,-1.05502521847449,0.130905847592705,0.00191546998150261,0.400730665178193,0.00427851922875615,21891,5534,2,2488.96000695833
2021-12-29,0.00049003040945349,-0.87078260070278,0.00235404996973517,-2.17022805459737,0.00133604368308468,0.0641785317945008,0.0067,0.152184816417041,-1.05881442326503,0.0907544471727594,0.000625763126871485,0.279829926713364,0.00408306606127438,16785,3891,2,899.0924545
2021-12-30,0.000345008622281036,-0.8961486254406,0.00303320821744722,-2.21296289891849,0.00067180272010358,0.0816308852284201,0.0067,0.0305240995143268,-1.05894723018882,0.161254908867468,0.0003603420664683,0.475397943952401,0.00601974761768495,13119,3290,2,983.647938583333
2021-12-31,0.000278091042157052,-0.896968624068529,0.00270878490956842,-1.74521486392428,0.000809015731668092,0.046405033149919,0.0067,0.181544766029754,-0.80531972626762,0.0108753466875131,0.00578026267399551,2.09654776733172,0.00886228174547953,26694,6732,2,1451.49927304167
2022-01-01,0.00181474068207955,-0.888406091263573,0.00176922216222183,-1.62861433962198,0.000957482153961536,0.0395765886633287,0.0067,-0.0915258035212737,-4.99999999985238,0.0058167931501467,0.00741748982807232,0.203607788595233,0.00481367627686177,8787,2330,2,349.050751083333
2022-01-02,0.00207110473345017,-0.896358897324385,0.00153625921969006,-2.13400889945664,0.00108229173007737,0.0495700513603781,0.0067,-0.100373546101877,-1.05882679999809,0.0457019014529118,1.03852583927757e-06,0.266771841358094,0.00560321367209148,8497,2257,2,1232.83364858333
2022-01-03,-0.000160574345890604,-0.89711793480841,0.00208212165263775,-2.06817355982341,0.00120704088993972,0.0507202794422389,0.0067,0.135531683600174,0.434389702183986,0.161162021329752,0.0220032739427214,0.320033210080593,0.00511023492870613,12255,3206,2,897.271946208333
2022-01-04,0.000369197710504998,-0.886377696678982,0.00265130807587986,-2.2625941483365,0.000935029452787971,0.0683850969098601,0.0067,0.160660875986337,-1.26740430064711,0.208438839743803,0.00448938348161086,0.182162112720236,0.00379505521431705,12648,3347,2,932.289277291667
2022-01-05,0.000790323942779825,-0.889870471077423,0.00265087468641852,-1.96233276370687,0.00116590876104282,0.0610667964710224,0.0067,0.154981892736865,-1.05879490767791,0.223160482671611,7.41634558923468e-06,1.59160508925217,0.00912113374092758,19131,4971,2,1363.92826208333
2022-01-06,-0.000186326248448985,-0.88898937592031,0.00218086400242828,-1.96832227156153,0.00179464673023409,0.0512591705063425,0.0067,0.160130829137655,-1.09708847422683,0.00622027195355082,0.000132946333921016,0.991561307046083,0.00749421114098496,17655,4397,2,1788.543834375
2022-01-07,-5.61805847597496e-05,-0.892443048914665,0.00249641178924058,-2.0650568665168,0.00254999006494714,0.0604777193093722,0.0067,0.0873998031113022,-1.05877444719385,0.048173189834854,2.32496166998241e-05,2.40252117665136,0.00987886904689811,24618,6294,2,983.249335541667
2022-01-08,0.00069255995761198,-0.889938795377578,0.00272911331712308,-2.14415227575289,0.00176396278056605,0.0597148512500414,0.0067,-0.0449733899531474,-1.0588,0.0299044964292268,4.33488298025296e-14,1.07751824958007,0.0100999372906293,10563,2751,2,708.908271375
2022-01-09,-0.00110469110875397,-0.922718400909043,0.00135789130294175,-1.92643070539867,0.000502892512778547,0.0391299591627795,0.0067,0.262141154285291,-1.058808691935,0.0226610758178552,2.56427430480917e-14,0.311994751557413,0.00599983415367704,8667,2324,2,435.317239125
2022-01-10,-0.000427688350079188,-0.87458210163096,0.00294187697974552,-2.1505804305979,0.00224630425262971,0.0680854728274435,0.0067,0.241429464062714,-1.04462037398758,0.00923969974915174,0.000772973932211256,1.06031431756587,0.00786822307061087,17127,4292,2,988.134996541667
2022-01-11,0.00108018458112455,-0.913990620426638,0.00260896371294931,-1.81908963519071,0.00256953172908082,0.0532922718260612,0.0067,-0.00464917020974491,-1.05875095212794,0.0102900054711146,9.25895326982002e-05,0.817572266738322,0.00716129679554604,15942,4025,2,1248.146761
2022-01-12,-0.000412282084411253,-0.829048404369967,0.00180957262883597,-2.09523697176003,0.00151943163227931,0.0501678173330136,0.0067,0.257422496314642,-1.05652140874341,0.0079673122490016,0.00195380144838411,0.454541512863051,0.00538496644924783,15675,4008,2,1001.96113258333
2022-01-13,0.000250398839620022,-0.956053885171296,0.00182883910569828,-1.90044338134336,0.000431091399899934,0.0565711750141991,0.0067,0.142845628066741,-1.09862195260699,0.0119364776128912,0.0509807937755036,0.134883730159097,0.00317221470700697,13404,3315,2,1615.02274570833
2022-01-14,0.000418656812024614,-0.874627468201638,0.00226066233865529,-2.15760400084894,0.00112437627680949,0.0620828199144679,0.0067,0.0341475695289488,-1.05793212903868,0.0118332071314943,0.000175114228461932,1.15908530280724,0.00906667697697281,14100,3688,2,733.685155958333
2022-01-15,0.000741282847464041,-0.890842113651624,0.00227089918270957,-2.05638394617892,0.0011617062498344,0.0572966278037951,0.0067,0.102159527138482,-1.0588,0.0282891303740825,5.02638728228989e-07,0.48694099447107,0.00860120364326379,6582,1772,2,154.623664125
2022-01-16,0.000487756946078732,-0.933407757385809,0.00212718542651647,-2.15468682008941,0.00128853835608628,0.056882526679287,0.0067,0.0664307121847656,-0.522362471350469,0.0284627257411497,0.0128113348527345,0.295359964467667,0.00634954135875278,7326,1826,2,430.808164541667
2022-01-17,0.000994722199863738,-0.895527308674997,0.0018435946167738,-2.16801174571936,0.00136948842920942,0.0552038370661294,0.0067,-0.0363081077080148,-1.0588,0.0128078305569996,3.60700629292821e-14,0.87216517587234,0.00861183519531821,11760,3029,2,825.346682958333
