date,mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,sigma_y,SSE_SVJ,RMSE_SVJ,n_obs,n_contract,exitflag,elapsed_sec
2021-12-15,0.000655816981089409,-0.0758858339827809,0.000491747995917163,0.755529542645646,0.000377827547424097,0.0357586630645936,0.0067,0.049153975216937,0.259025383399905,0.90235059521902,0.00625083555588762,23094,6047,2,3556.15808458333
2021-12-16,-0.000462771834670957,0.0986831681463308,0.000308235093333206,0.819416928899414,0.000763025184247521,0.0420707176607206,0.0067,0.204859951171408,0.0800369732048163,0.350775775534001,0.00465024660749418,16221,4356,2,591.503099541667
2021-12-17,0.00205677110754523,0.106034093331,0.00025729875921624,0.771066013928946,0.00186295313863353,0.0453939438727483,0.0067,-0.156276452774455,1.00000419547738e-08,0.504022146659064,0.00529205990325298,17997,4655,2,593.002150375
2021-12-18,-0.000647932232039503,-0.963433328017609,0.000414811815905025,0.671610082350043,0.000625691524804096,0.0190461703639977,0.0067,0.241472308041864,1.00000390658653e-08,0.272062065598819,0.00521778346090113,9993,2558,2,645.198893375
2021-12-19,-0.000267693915423569,-0.116213856090638,0.00144217529646431,0.0357320394784782,0.000160272788493638,1.00386039475886e-08,0.0067,0.300367427893566,0.130394408905983,0.431196842373914,0.00652589782763129,10125,2612,2,459.165951416667
2021-12-20,0.00152075831027629,-0.148911979371134,0.000106821262124697,0.942584676352422,0.00111489201154406,0.0177914563132441,0.0067,0.0625729727107879,0.136046429726124,0.599329764391903,0.00600560291037788,16617,4515,2,827.169808708333
2021-12-21,-0.000783106535104062,0.112863385118006,0.000206755750863152,0.827606723483425,0.00133469083651551,0.0244017393646893,0.0067,0.297028150672263,0.024751086278217,0.297579521230605,0.00399022026256015,18690,4939,2,543.9721815
2021-12-22,0.00200938932704667,-0.170106435405293,0.000152521600026451,0.906841483284831,0.00114940534559777,0.0258167382153657,0.0067,-0.135942586439445,0.0319101312074661,0.300797022819198,0.00539409390570567,10338,2644,2,942.563559125
2021-12-23,0.000866426779125697,0.200339615216151,0.000354599931970151,0.748778229849975,0.000819393572872567,0.0154154869808103,0.0067,0.112680797393027,0.0424020805186624,0.600631756166166,0.00624658293474874,15393,3937,2,1449.15557416667
2021-12-24,0.0010395065283063,-0.758106073479182,0.000675999795913255,0.594241554412691,0.000194182288404726,0.0283786529286504,0.0067,-0.021513976570149,1.000003613286e-08,0.606131121686005,0.0059169394791545,17313,4318,2,813.946104375
2021-12-25,-0.000846027191865759,-0.338896325319291,0.00017602688468678,0.661864263872944,0.000767684750116956,0.0240144094634458,0.0067,0.302796136503602,6.56762345155526e-07,0.218238002052995,0.00538675711791797,7521,1932,2,226.773727375
2021-12-26,0.00143899767331616,0.426478991038367,2.95899052363387e-05,0.948485152717982,0.001423217480836,0.0235553102567089,0.0067,0.0361742602455913,0.299402888543448,0.218521372881369,0.00454189901693248,10593,2668,2,384.737142625
2021-12-27,0.00162253984953446,-0.99972431834781,0.000828448240147933,0.462913636181429,0.000632045475763528,0.0302502385670633,0.0067,-0.0589830672607553,0.00436052034273322,0.304271324075479,0.00499689156679794,12186,3176,2,1593.94404754167
2021-12-28,0.000515525158815267,0.273702975681047,0.000448778282891904,0.740045635728253,0.000819526723834791,0.023749897791625,0.0067,0.105227757496195,0.173584950934348,0.465886885013852,0.004613254796948,21891,5534,2,551.2990545
2021-12-29,0.0018634522446603,0.362233725660458,0.000234549887717448,0.796769938843022,0.0013335284012169,0.0299407211188815,0.0067,-0.0972127177333105,0.193478114678233,0.483040541011797,0.00536452308175254,16785,3891,2,441.483278916667
2021-12-30,0.00169698057222058,-0.101396289527023,0.000282263829682764,0.830725862832397,0.000857578007446741,0.0331291466960879,0.0067,-0.14944607646632,0.0238486102010184,0.481722825579867,0.00605965985180834,13119,3290,2,414.320607708333
2021-12-31,-0.00120310409001185,0.0999096385584726,2.13026841819482e-05,0.967400527959682,0.0011973792233295,0.00981330803882986,0.0067,0.308901876793203,7.53014385682494e-05,1.1276006131044,0.00649936344752788,26694,6732,2,1249.90771604167
2022-01-01,0.00154312628721676,0.832213559944833,0.000872171840099645,0.169535011877094,0.000791206104557625,0.0137885608306602,0.0067,-0.0941622915093604,0.00288128931338961,0.198164093249423,0.0047488906450982,8787,2330,2,659.248349791667
2022-01-02,0.00152353387767114,0.999999999999971,0.000257935502452392,0.734335332631401,0.000490986014232575,0.0048744559021794,0.0067,-0.0220517227414725,0.0968959544785835,0.183370552983195,0.00464549490622483,8497,2257,3,408.572974
2022-01-03,-0.000196774350976889,-0.263155843804445,0.000163547694695805,0.812462588327646,0.00148157130253463,0.0232450710585371,0.0067,0.162057779552413,0.214507324518179,0.199806389247852,0.00403782997785411,12255,3206,2,380.032470541667
2022-01-04,0.000965480825996288,-0.0248931735102497,0.00018967906146092,0.710527927448453,0.000758387231443756,0.0147805781934303,0.0067,0.0623957642163566,0.470349805205581,0.230029173234849,0.00426462188023468,12648,3347,2,1167.97252804167
2022-01-05,0.00192492748842628,0.544833711032618,0.000195201681047321,0.860250729278148,0.000585333224473987,0.0305297092748359,0.0067,-0.190628029672595,0.117213077398303,0.417136513970329,0.00466949879694871,19131,4971,2,784.159089375
2022-01-06,-5.0584950464003e-05,0.303952527514525,0.000225634402482206,0.776672683002338,0.00107421503469946,0.023090675519554,0.0067,0.110446899370769,0.289640039991016,0.97563001912773,0.00743376309205074,17655,4397,2,909.772371583333
2022-01-07,-0.000309127358074269,0.013684743777645,0.000155467800923315,0.843632709469609,0.00123123472007294,0.024483634327036,0.0067,0.0431036443702149,0.214214897318359,1.25630788705117,0.00714367452732433,24618,6294,2,651.995506708333
2022-01-08,0.00138196687453479,0.849640101547259,0.000365126578183628,0.417655699583048,0.000147940228584711,0.0153042899721452,0.0067,-0.0830502923813326,0.215712341775177,0.331620762064501,0.00560308507398831,10563,2751,2,590.185393375
2022-01-09,0.000724274318849447,-0.0448098341688612,0.000313745787189409,0.71560734334092,0.000188875737488773,0.0344943687208365,0.0067,0.0230052827708185,0.0758478442983577,0.493360930250967,0.00754480429139333,8667,2324,2,309.772078458333
2022-01-10,0.000953063851868726,0.135032014209345,0.000258561703757671,0.852549475635509,0.00113057549696266,0.0300820776365692,0.0067,0.0958639358978419,0.0451686125397575,0.787353064613509,0.00678022509674691,17127,4292,2,495.676203
2022-01-11,0.000204585021389163,0.250337993316647,0.000468274026397775,0.722678168876762,0.000929340113792822,0.0328749224376169,0.0067,0.0858082672958111,0.0148793479570451,0.271198082496913,0.00412450566904481,15942,4025,2,739.090989166667
2022-01-12,0.000723240428785005,0.673694814628983,0.000622248594286885,0.428309839807087,0.000558501488639894,0.0341158805664056,0.0067,-0.0163996655789019,1.00000357714488e-08,0.307608013950229,0.00442991148021071,15675,4008,2,1212.792184625
2022-01-13,0.000891897792802565,-0.215284503044598,0.000206917115549424,0.834957742438384,0.000645892049273333,0.031830172758891,0.0067,0.018562691919284,2.44209111800128e-08,0.176841601009208,0.0036322439532841,13404,3315,2,918.555110541667
2022-01-14,0.000829578553615715,0.978367670553683,0.000459373294204308,0.727341074441178,1.05972097803788e-05,0.0289034273355198,0.0067,-0.0222725940822294,0.0923217525564028,0.557002709932913,0.00628519994058379,14100,3688,2,499.142364791667
2022-01-15,-0.000458492684687586,-0.938028522500825,0.000120469054015899,0.740569420073774,0.000290402211626343,0.0237403288293873,0.0067,0.25639141716231,9.16649732758186e-05,0.113324223365534,0.00414937261854728,6582,1772,2,560.981675125
2022-01-16,0.00222682047034358,-0.490405081220545,0.000481481398565777,0.482772563927963,0.000285399441140958,0.0216293366433492,0.0067,-0.281689160304223,0.121906573239825,0.12063523050155,0.00405792131887583,7326,1826,2,341.300832708333
2022-01-17,0.000116486636527737,-0.0197049657835486,8.33865379460874e-05,0.931680433043311,0.000335461500304634,0.00847375740176977,0.0067,0.123904377374528,1.0000044073185e-08,0.185437291509813,0.00397095418875637,11760,3029,2,642.359016708333
2022-01-18,-0.000643193151785058,-0.727229298683953,0.000146314314234957,0.779856348895949,0.000333187755908763,0.0203252152068561,0.0067,0.132392343528217,0.305494401541177,0.286556065386661,0.00496039669886942,11646,2951,2,404.071181791667
2022-01-19,0.00222628473207425,0.324369686143096,0.000166705978199085,0.778139886317411,0.000612152726128158,0.0241441489487813,0.0067,-0.165716688623747,0.159035271357981,0.222878000948618,0.0043291850660072,11892,3010,2,582.004339875
2022-01-20,0.0020394352308582,-0.342675146404151,0.00029879916323247,0.62680260796057,0.000922316326542543,0.0289407578882381,0.0067,-0.185063130480612,0.139607844127691,0.368185029606162,0.00440740159930524,18954,4588,2,608.682940916667
2022-01-21,-0.00119313328684936,-0.899151176310315,9.679855847429e-06,0.983654679049281,0.00141496482626837,0.00712047904157296,0.0067,0.326351797619792,0.125096425607496,1.16516027685348,0.00534474057009625,40788,10105,2,2219.66502495833
2022-01-22,0.000187254808028855,0.403354875144648,0.000216957725577937,0.781004826676094,0.00153819979752247,0.0232448239806725,0.0067,0.0904998330951399,0.161128024722763,2.3151164270895,0.00841831446675462,32668,7977,2,884.6963145
2022-01-23,0.000636404864999134,-0.0675234927349927,0.000230981504450717,0.798560442710734,0.00177767059088167,0.0179348358795263,0.0067,-0.0164878163860348,0.255661429436419,0.343411000828416,0.00443987313998206,17421,4291,2,553.140592958333
2022-01-24,0.00118778086231712,-0.574380649727296,5.55204813725138e-05,0.774868078877186,0.00131449070453064,0.0106670896926373,0.0067,0.00411561039066826,0.273776671241451,2.14800405069512,0.00733914415679133,39879,9527,2,1584.21713933333
2022-01-25,0.000827268311968591,-0.201751448280344,0.000428543999905952,0.731550089535572,0.00102774428108231,0.0356524247480903,0.0067,0.108632363783281,1.00000344124389e-08,0.683655882683602,0.00543347445679179,23157,5904,2,715.618602666667
2022-01-26,-4.02843134620524e-05,0.999999999999957,5.20735251865266e-05,0.938989495244214,0.00124544320750653,0.00169732072274036,0.0067,0.108287466478708,0.308011472604497,0.458404823923287,0.00390878919029275,30003,7594,2,1548.167173125
2022-01-27,-0.00083731956609479,-0.884800334165748,0.000395727064379038,0.495865168767568,0.00113655865147548,0.0209712385316125,0.0067,0.291978873802897,0.418535931563888,0.828171671684625,0.00659656689598382,19032,4759,0,1101.195714625
2022-01-28,0.000252959012129143,0.0602712558343371,0.00014391658939262,0.807141416467854,0.0012099343562134,0.0316670137463486,0.0067,0.169275478087965,0.0888037237270258,0.477052452516267,0.004855832061318,20232,5143,2,569.813135916667
2022-01-29,-0.00123430432391816,-0.349425972432895,1.21018093100054e-05,0.979268393140634,0.00115793239839631,0.00573109648940519,0.0067,0.331119827759122,0.134404949149886,0.263824001522331,0.00485884881112142,11175,2872,2,266.842302708333
